Label,Name,Name_spanish
Medulla,Medulla oblongata,Bulbo raquídeo / Médula oblongada
Pons,Pons,Puente de Varolio / Protuberancia anular
SCP,Superior cerebellar peduncle,Pedúnculo cerebeloso superior
Midbrain,Midbrain,Mesencéfalo
Whole_brainstem,Brainstem,Tallo cerebral
